ClassDescKeywordId,Keyword,ClassDescriptionId,ClassCode,ClassSuffix,DirectOK
198,Interior Decorators (No Installation),1207,8742,0,Y
199,Video Rental,1209,8017,27,Y
448,DVD Rental,1209,8017,27,Y
200,Tobacco Products,1210,8017,27,Y
201,Signs & Banners,1211,9501,1,Y
202,Stationary / Paper Products,1212,8017,27,Y
203,Variety Store,1213,8017,27,Y
204,Religious Articles,1215,8017,27,Y
205,Party Supplies,1216,8017,27,Y
206,Musical Instruments,1217,8017,27,Y
207,Trophies,1218,4352,0,Y
208,Picture/Frame Store,1219,8017,27,Y
209,Computers (Store),1220,8017,27,Y
428,Computer Store,1220,8017,27,Y
210,Beauty Supply,1221,8017,27,Y
211,Candy or Confectionary,1222,8017,27,Y
212,Army/Navy Stores,1223,8017,27,Y
213,Janitorial Supplies,1224,8017,27,Y
214,Kitchen Accessories,1225,8017,27,Y
215,Leather/Hide Products,1226,8105,0,Y
216,Optical / Hearing Aid,1227,8832,0,Y
506,"Glasses, Lenses, or Eyewear Store",1227,8832,0,Y
217,Office Machines / Appliances,1228,5191,1,Y
218,Art/Hobby Supplies,1229,8017,27,Y
219,Household Appliances & Furnishings,1230,8044,0,Y
220,Electrical Lighting / Supplies,1231,8017,27,Y
221,Electronics,1232,8017,27,Y
427,Electronics Store,1232,8017,27,Y
222,Fabric,1233,8008,0,Y
223,HVAC Equipment,1234,7998,0,Y
224,Monuments,1235,1809,0,Y
418,Tombstone,1235,1809,0,Y
507,Gravestone Maker,1235,1809,0,Y
508,Headstone Maker,1235,1809,0,Y
225,Gardening Supplies,1236,7998,0,Y
226,Gift Shop,1237,8017,27,Y
227,Wood Products,1238,8017,27,N
228,Fur/Garments,1239,8008,0,Y
229,Equipment Fixtures or Supplies,1240,7998,0,Y
230,Printing/Copying/Duplicating,1241,8012,0,Y
231,Beverage Store (Non-Alchoholic),1242,8017,27,Y
232,Concession Stands / Snack Bars,1243,9072,0,Y
426,Snack,1243,9072,0,Y
462,Stonemason,1245,5348,2,Y
233,"Tile, Stone, Marble, Mosaic Work",1245,5348,2,Y
234,Siding Installation,1246,5403,0,Y
235,Computers (Installation/Repair),1247,5191,1,Y
429,Computer Repair Store,1247,5191,1,Y
435,Portrait Studio,1248,4361,0,Y
236,Photographer,1248,4361,0,Y
237,Auctioneers,1249,8090,0,Y
264,Bid,1249,8090,0,Y
256,Auction,1249,8090,0,Y
238,Engraving,1250,4352,0,Y
239,Art Gallery,1251,8068,0,Y
477,Art Galleries,1251,8068,0,Y
240,Interior Decorators (Incl Installation),1252,5403,0,Y
241,Sign Painting or Lettering (Inside Only),1253,9501,0,Y
242,Shoe Repair,1254,9585,0,Y
243,Sprinkler Installation (Lawns),1255,5183,0,Y
244,Door and Window Installation,1256,5102,1,Y
245,Septic/Sewer Cleaning,1257,9402,1,E
425,Cleaning (Septic/Sewer),1257,9402,1,E
447,Glazing,1258,5462,0,Y
246,Glass and Glazing Work,1258,5462,0,Y
247,Tuxedo Rental,1259,8008,0,Y
446,Formal Wear,1259,8008,0,Y
248,Wig Store,1260,8017,27,Y
249,Floor Installation,1261,5429,0,Y
342,Hardwood Floor Installation,1261,5429,0,Y
250,Lunch Wagon,1262,9071,1,Y
484,Food Truck,1262,9071,1,Y
459,Therapist,1264,8857,0,Y
251,Counseling Services,1264,8857,0,Y
252,"Trade, Vocational, Technical School",1265,9101,0,N
388,Vocational School,1265,9101,0,N
348,Builder (General Contractor),1266,5403,0,N
314,General Contractor,1266,5403,0,N
315,GC,1266,5403,0,N
489,Museum,1267,9101,0,Y
490,Art Museum,1267,9101,0,Y
491,Sign Painting or Lettering (Outside),1268,9553,0,N
